yyyymmdd,accu,mean,top10_mean,max,std
20020529,2042.5,6.042899408284024,79.5,160.5,16.7141055794572
20020530,4250.9,12.842598187311177,131.9,171.0,26.356297330228166
20020531,15436.8,45.94285714285714,162.4,177.5,35.352691639003226
20020601,3432.7,10.27754491017964,73.35,123.0,15.05617640255153
20020602,4106.8,12.222619047619048,73.95,125.5,17.57947837130716
20020603,3209.8,9.440588235294118,75.95,124.0,16.239630164793574
20020604,3770.7,11.496036585365854,92.6,122.0,19.255892735031832
20020605,2875.2,8.407017543859649,75.3,110.5,15.496891138696318
20020606,7302.2,21.60414201183432,92.22999999999999,135.0,22.112662989801628
20020607,4304.0,13.534591194968554,128.6,281.0,29.0802857153383
20020608,3043.9,8.797398843930637,73.6,103.0,15.769648507282453
20020609,4017.3,11.746491228070177,79.15,113.0,18.488402464794394
20020610,1190.9,3.5870481927710847,41.85,58.0,9.014027606817756
20020611,10839.0,31.78592375366569,159.75,226.5,38.55321007565883
20020612,2517.8,7.361988304093567,31.95,63.5,7.7556102779529175
20020613,3330.6,10.092727272727272,134.65,197.5,25.177518985375684
20020614,588.6,1.6817142857142857,26.0,50.0,5.118572058530323
20020615,3.5,0.009831460674157303,0.35,2.0,0.11509143760604426
20020616,1466.2,4.2011461318051575,44.160000000000004,59.5,9.062065449168115
20020617,479.5,1.418639053254438,13.75,21.0,3.0855708159512383
20020618,526.2,1.5164265129682999,27.85,41.0,5.058207690475817
20020619,433.3,1.2171348314606742,20.84,40.5,4.1088714235272565
20020620,428.9,1.2150141643059489,33.57,84.5,6.569374913656041
20020621,380.0,1.0795454545454546,21.7,41.5,4.202871288311802
20020622,435.1,1.2290960451977402,33.3,81.0,6.911615195205425
20020623,336.5,0.953257790368272,25.3,54.0,4.70021359093389
20020624,3.5,0.00980392156862745,0.35,0.5,0.06932419423397525
20020625,183.0,0.5213675213675214,17.1,76.5,4.879630825204317
20020626,1352.5,3.966275659824047,46.55,85.0,9.753727337778626
20020627,1764.2,5.040571428571429,52.35,78.0,10.979948462761469
20020628,22.5,0.0641025641025641,1.6,4.5,0.40052562440546946
20020629,29.5,0.08356940509915015,2.95,24.0,1.286544774832
20020630,271.0,0.7720797720797721,18.0,32.5,3.348872490346472
20020701,4122.0,12.304477611940298,94.3,124.5,21.920476577479494
20020702,381.0,1.0979827089337175,20.85,36.5,3.9356014110374296
20020703,9038.9,27.30785498489426,211.2,338.0,45.86821328173498
20020704,16333.2,48.038823529411765,292.05,408.0,61.87350966783699
20020705,1654.1,4.739541547277937,65.8,126.0,13.016774974446621
20020706,6708.4,21.364331210191082,107.2,129.0,26.631987167244713
20020707,2908.0,9.059190031152648,85.39,146.5,18.102599199736982
20020708,7247.0,24.318791946308725,117.6,160.0,29.541423241462322
20020709,11238.6,39.572535211267606,207.0,275.5,45.18848498525752
20020710,19897.4,61.98566978193147,196.65,220.5,51.592472526872825
20020711,5847.8,18.564444444444444,126.4,171.5,27.63315479164435
20020712,7473.7,22.64757575757576,119.6,173.0,28.65779089482533
20020713,1026.7,3.055654761904762,32.2,47.5,6.8442992562702925
20020714,527.2,1.5505882352941178,26.9,33.5,4.9238524737639136
20020715,1298.0,3.851632047477745,42.95,57.5,8.735748309295813
20020716,2387.5,7.676848874598071,45.5,61.5,11.245799975104262
20020717,10977.2,35.99081967213115,159.55,173.0,39.06587518853469
20020718,3699.6,13.404347826086957,74.6,122.5,18.47582191917756
20020719,323.5,0.9743975903614458,28.7,91.0,7.352163926092696
20020720,421.8,1.251632047477745,34.15,58.0,6.326000607537861
20020721,47.5,0.13494318181818182,4.4,13.5,0.9366893447615788
20020722,15.0,0.042134831460674156,1.5,8.5,0.5010325785234185
20020723,274.5,0.7933526011560693,24.4,66.5,5.528166111105292
20020724,442.4,1.2603988603988603,29.05,55.5,5.6818698880699445
20020725,41.5,0.11756373937677053,3.95,10.5,0.8354251259816333
20020726,1626.0,4.606232294617564,87.2,143.0,16.153713321597323
20020727,2109.5,6.204411764705882,82.35,120.5,16.509849411643817
20020728,1598.0,4.645348837209302,59.8,105.5,12.265475815121722
20020729,7314.0,20.897142857142857,124.6,157.5,30.304109911875326
20020730,2255.8,6.595906432748539,80.3,150.0,16.644045549341516
20020731,2206.8,6.548367952522256,60.2,94.5,13.09642413903872
20020801,1261.2,3.6769679300291545,33.45,46.0,6.632046952730965
20020802,5376.4,15.812941176470588,103.75,133.5,24.614708841452522
20020803,2232.0,6.4508670520231215,63.45,105.0,12.888013064515064
20020804,11537.0,36.16614420062696,170.23,234.5,36.056642758494434
20020805,7770.6,23.547272727272727,177.65,450.0,41.794949040395494
20020806,15997.1,48.32960725075529,218.4,338.5,49.49179644094047
20020807,2912.3,8.745645645645647,46.2,61.0,9.467067334844568
20020808,1516.0,4.44574780058651,40.9,64.5,8.204752634282638
20020809,928.6,2.5866295264623957,35.15,99.0,7.840384672667255
20020810,4428.4,12.725287356321838,78.6,119.5,18.58074468887855
20020811,5176.7,15.092419825072886,82.55,117.5,20.495299915693906
20020812,2912.4,8.490962099125365,73.55,98.5,17.051831633233018
20020813,833.0,2.2884615384615383,45.25,68.5,8.481348563601895
20020814,143.5,0.39207650273224043,9.8,21.0,1.9112744452527726
20020815,927.3,2.5405479452054793,34.55,51.0,7.020439804045172
20020816,634.2,1.7519337016574588,32.45,46.5,5.983500252053371
20020817,481.3,1.2938172043010754,26.0,39.5,4.726769959089995
20020818,1997.8,5.503581267217631,69.25,124.5,14.66298025400519
20020819,2441.9,6.708516483516484,86.1,126.5,17.55621924170791
20020820,562.1,1.531607629427793,35.3,79.0,6.859944421788235
20020821,162.0,0.43783783783783786,11.9,22.0,2.174527143548169
20020822,441.4,1.2093150684931506,25.39,73.0,5.234466472993808
20020823,164.6,0.44972677595628413,9.5,20.5,1.858178622791975
20020824,12.0,0.032520325203252036,1.2,3.0,0.2502559995385591
20020825,23.0,0.06133333333333333,1.7,4.5,0.34288708863932976
20020826,7.0,0.018970189701897018,0.7,6.5,0.3388455159275266
20020827,3.0,0.008130081300813009,0.3,1.0,0.07317073170731707
20020828,2.0,0.005405405405405406,0.2,0.5,0.051705747215429705
20020829,13.9,0.037365591397849465,1.3,2.5,0.25075487259049634
20020830,2248.9,6.653550295857989,54.95,77.0,11.570831612297061
20020831,2457.9,7.3151785714285715,73.03,109.5,14.70427260037733
20020901,1590.2,4.543428571428572,47.9,78.5,10.33036852968875
20020902,3017.1,8.620285714285714,60.31,83.10000000000001,13.506860264476035
20020903,1131.9,3.101095890410959,45.1,95.0,9.05744219263898
20020904,101.0,0.2885714285714286,7.3,15.0,1.420255797598533
20020905,3513.3,10.154046242774568,113.85,161.0,23.965436294945896
20020906,3211.0,9.38888888888889,107.3,150.0,23.61863657162018
20020907,2596.0,7.546511627906977,80.2,109.0,16.838084584727056
20020908,863.9,2.341192411924119,27.610000000000003,51.5,5.612291455396969
20020909,2224.9,6.338746438746439,69.5,116.5,15.128380627908797
20020910,3913.8,11.278962536023055,99.45,170.0,21.253393451814148
20020911,4511.3,13.000864553314122,106.25,152.5,24.743863078740638
20020912,1554.7,4.416761363636364,64.2,106.5,12.008759954616385
20020913,2800.0,8.383233532934131,97.95,129.5,19.01405453299705
20020914,1855.4,5.346974063400577,50.65,72.0,10.57689618549013
20020915,717.1,2.02,24.6,42.0,4.943423002931824
